SRX7262452	hg38	ATAC-Seq	ATAC-Seq	Others	Bladder cancer	NA	46067636,63.6,22.9,35670	GSM4201674: ATAC-seq from Luminal2/BMP k.o CAF; Homo sapiens; ATAC-seq	source_name=Human bladder tumor organoid	subtype=luminal	tissue=Bladder tumor	passages=7-10	genotype=wild type	description=BMP4, 5 were knocked out in surrounding reconstituted CAF
SRX4132366	hg38	ATAC-Seq	ATAC-Seq	Uterus	RL95-2	Primary Tissue=Uterus|Tissue Diagnosis=Carcinoma	35213002,86.3,32.9,33921	GSM3161729: RL95 2 ATAC-seq replicate 2; Homo sapiens; ATAC-seq	source_name=Endometrial adenosquamous carcinoma	cell line=RL95_2	tissue=Endometrial adenosquamous carcinoma
SRX4136846	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived neural cells	NA	55356288,26.1,36.0,12198	GSM3163884: ATACseq 7TP 12hr rep2; Homo sapiens; ATAC-seq	source_name=Neural progenitor cells	cell type=H1 hESC-derived neural progenitor cells
SRX4150772	hg38	ATAC-Seq	ATAC-Seq	Blood	TF-1	Primary Tissue=Blood|Tissue Diagnosis=Erythroleukemia	6986435,98.0,49.3,920	GSM3169431: S0067 G11-B10-C11-C6-B8-E10-F9-F8 G11 G008 [TF1 clones ATAC-seq]; Homo sapiens; ATAC-seq	source_name=ATCC	cell line=TF1	cell type=hematopoietic cell line
SRX4152201	hg38	ATAC-Seq	ATAC-Seq	Blood	CD34 Hematopoietic stem cells	NA	180326,86.0,75.1,0	GSM3170784: CC100-C1-1-27 [CC100 scATAC-seq]; Homo sapiens; ATAC-seq	source_name=CD34+ hematopoietic cells	celltype=primary hematopoietic cells	supplemented with=CC100
SRX4275499	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	Colonic epithelial cells	NA	95634892,93.2,14.1,34032	ATAC-seq from human colonocytes inoculated with microbiome from Ind3 for 2 hrs (replicate 1)	isolate=2950, lot 9810	age=21 weeks gestation	biomaterial_provider=ScienCell	sex=male	tissue=colon	cell_type=colonic epithelial cells	treatment=Microbiome from Ind3 for 2hrs
SRX4275502	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	Colonic epithelial cells	NA	44968253,90.8,13.9,39068	ATAC-seq from human colonocytes inoculated with microbiome from Ind3 for 2 hrs (replicate 2)	isolate=2950, lot 9810	age=21 weeks gestation	biomaterial_provider=ScienCell	sex=male	tissue=colon	cell_type=colonic epithelial cells	treatment=Microbiome from Ind3 for 2hrs
SRX4302085	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Keratinocytes	MeSH Description=Epidermal cells which synthesize keratin and undergo characteristic changes as they move upward from the basal layers of the epidermis to the cornified (horny) layer of the skin. Successive stages of differentiation of the keratinocytes forming the epidermal layers are basal cell, spinous or prickle cell, and the granular cell.	130733,84.2,72.9,0	GSM3215732: scATAC-D3-28; Homo sapiens; ATAC-seq	source_name=Primary epidermal keratinocyte	cell type=Primary epidermal keratinocyte	differentiation status=Differentiated (Day 3)
SRX4308441	hg38	ATAC-Seq	ATAC-Seq	Blood	GM12878	Tissue=blood|Lineage=mesoderm|Description=B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus	236730,44.8,53.2,0	GSM3218299: GM12878 cell 2389; Homo sapiens; ATAC-seq	source_name=GM12878 cell line	cell type=GM12878 cell line
SRX4330296	hg38	ATAC-Seq	ATAC-Seq	Bone	A-673	Primary Tissue=Skeletal Muscle|Tissue Diagnosis=Rhabdomyosarcoma	3322447,42.3,20.0,121	GSM3240330: ATAC-seq on A673  STAG2 null; Homo sapiens; ATAC-seq	source_name=A673 clones with STAG2 null	cell line=A673 Ewing sarcoma	genotype/variation=STAG2 null
SRX4513815	hg38	ATAC-Seq	ATAC-Seq	Blood	Natural Killer T-Cells	MeSH Description=A specific natural killer T-cell subtype that expresses an invariant T-cell receptor alpha-chain.	65997563,96.2,26.9,27149	GSM3320382: 1004-Immature NK-U; Homo sapiens; ATAC-seq	source_name=primary blood	donor=1004	cell type=Immature_NK	lineage=NK	treatment=no_treament
SRX4514456	hg38	ATAC-Seq	ATAC-Seq	Lung	Small cell lung cancer	NA	54644673,86.5,45.2,18665	GSM3321015: lung: NCI-H2227 ATAC-seq; Homo sapiens; ATAC-seq	source_name=lung	tissue=lung	cell type=small cell lung cancer	transplant=N/A
SRX4552963	hg38	ATAC-Seq	ATAC-Seq	Prostate	C4-2	Tissue=Prostate|Cell Type=Epithelial|Disease=Prostate Cancer	17866493,96.2,7.1,10439	ATAC-seq of C4-2B	Treatment=EPZ6438	Replicate=2	assay=ATAC-seq	isolate=C4-2B	age=50	biomaterial_provider=Michigan Center for Translational Pathology	sex=male	tissue=Prostate	cell_line=C4-2B
SRX4557420	hg38	ATAC-Seq	ATAC-Seq	Bone	Osteosarcoma	MeSH Description=A sarcoma originating in bone-forming cells, affecting the ends of long bones. It is the most common and most malignant of sarcomas of the bones, and occurs chiefly among 10- to 25-year-old youths. (From Stedman, 25th ed)	28021912,68.5,44.6,398	GSM3334214: siSET8 Replicate4; Homo sapiens; ATAC-seq	source_name=Osteosarcoma cell line	cell line=Osteosarcoma cell line	sirna transfection=siSET8
SRX4590594	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	iPSC derived cardiac cells	NA	63300639,31.1,28.8,4321	GSM3349780: ATAC-seq III-3-MT, rep1; Homo sapiens; ATAC-seq	source_name=iPSC-CMs	cell type=iPSC-CMs	day post-differentiation=day 40	genotype/variation=LMNA WT/MT
SRX4634261	hg38	ATAC-Seq	ATAC-Seq	Blood	Treg	NA	44353367,89.5,46.3,18819	GSM3373881: Donor2 naive Tregs [S05]; Homo sapiens; ATAC-seq	source_name=Naïve Tregs	subject status/id=Healthy Donor 2	tissue=peripheral blood	cell type=CD4+CD25+ cells	sorted cell type=CD4+CD25hiCD127loCD45RA+ (naïve) Tregs
SRX4639447	hg38	ATAC-Seq	ATAC-Seq	Blood	Hematopoietic cells	NA	66508501,20.6,68.4,9757	GSM3374852: Plasmacytoid dendritic cells sample 1; Homo sapiens; ATAC-seq	source_name=human hematopoietic cells	population=CD45+/Lin-/CD11c-/CD123+
SRX4666820	hg38	ATAC-Seq	ATAC-Seq	Blood	CLL	Tissue=blood|Lineage=mesoderm|Description=chronic lymphocytic leukemia cell, T-cell lymphocyte	41515456,74.0,26.1,11248	GSM3382060: OSUCLL ATACseq; Homo sapiens; ATAC-seq	source_name=OSU-CLL	cell type=CLL cell line
SRX10785139	hg38	ATAC-Seq	ATAC-Seq	Lung	Lung fibroblasts	NA	57609540,91.1,24.6,86888	GSM5283092: ATAC-Seq Fibroblast rep2; Homo sapiens; ATAC-seq	source_name=human fibroblast	cell type=human lung fibroblast	treatment=no dnAP-1 (control)
SRX4933916	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H1703	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Non-Small Cell	40181395,67.1,10.9,24948	GSM3445655: Control-infected H1703 ATAC-seq; Homo sapiens; ATAC-seq	source_name=H1703 lung cancer cells	cell line=H1703	tissue=lung cancer
SRX4991913	hg38	ATAC-Seq	ATAC-Seq	Bone	U2OS	Tissue=bone|Lineage=mesoderm|Description=osteosarcoma from the tibia of a 15 year old, J. Ponten and E. Saksela derived this line (originally 2T) in 1964 from a moderately differentiated sarcoma, viruses were not detected during co-cultivation with WI-38 cells or in CF tests against SV40, RSV or adenoviruses, mycoplasma contamination was detected and eliminated in 1972, (PMID: 6081590)	35775343,92.7,63.2,3522	GSM3462871: U2OS H2B-GFP Halo-CTCF Mitotic Cell ATAC-seq R2T2; Homo sapiens; ATAC-seq	source_name=U2OS	protocol=ATAC-seq	enzyme=Transposase-Tn5	cell type=Bone	cell line=U2OS with H2B-GFP and Halo tagged CTCF received from Anders Hansen in Xavier Darzacq lab in Berkeley
SRX4963086	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Dermal fibroblast	NA	1294645,88.6,33.3,41	GSM3453247: TK OVOL2 rep2 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=Dermal fibroblast	cell type=Fibroblast	transgene=TP63, KLF4, OVOL2	passages=10 to 15
SRX5011443	hg38	ATAC-Seq	ATAC-Seq	Blood	Hematopoietic Stem Cells	MeSH Description=Progenitor cells from which all blood cells derived. They are found primarily in the bone marrow and also in small numbers in the peripheral blood.	1133,5.8,33.3,0	GSM3474895: HSCATAC P165 29; Homo sapiens; ATAC-seq	source_name=pre-leukemic HSCs	patient id=SU353	patient diagnosis=acute myeloid leukemia	cell type=pre-leukemic HSCs
SRX5012018	hg38	ATAC-Seq	ATAC-Seq	Blood	Leukemic stem cells	NA	23166,53.7,30.0,0	GSM3474545: SU353 LSC 5; Homo sapiens; ATAC-seq	source_name=LSC	patient id=SU353	patient diagnosis=acute myeloid leukemia	cell type=LSC
SRX5073707	hg38	ATAC-Seq	ATAC-Seq	Adipocyte	Adipose Tissue	MeSH Description=Encapsulated adipose tissue.	46006319,58.6,23.7,1780	GSM3494239: H1.3; Homo sapiens; ATAC-seq	source_name=Adipose from NICHD Brain and Tissue Bank for Developmental Disorders Donor 1104	tissue=adipose	Sex=male	age=adult
SRX5124149	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone marrow mononuclear cells	NA	132463559,20.4,0.0,0	GSM3507393: HumanBoneMarrow-ht-sciATAC-seq-Channel2; Homo sapiens; ATAC-seq	source_name=Human bone marrow mononuclear cells	cell type=Human bone marrow mononuclear cells	bead concentration=5000
SRX5134639	hg38	ATAC-Seq	ATAC-Seq	Blood	Umbilical cord blood	NA	1881222,96.9,85.4,0	GSM3516008: D8 1A-65; Homo sapiens; ATAC-seq	source_name=Umblical Cord Blood Cells Undergoing Differentiation	time-point=D8
SRX5202453	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC WIBR3	NA	42756812,84.0,39.5,18426	GSM3537869: WIBR3 ATAC PRIMED; Homo sapiens; ATAC-seq	source_name=hESCs, WIBR3 cell line	cell line=WIBR3	culture conditions=conventional/primed
SRX5234556	hg38	ATAC-Seq	ATAC-Seq	Kidney	TTC1240	NA	64226012,98.0,70.3,13869	GSM3558601: TTC1240 ATAC N106 SMARCB1 FL Rep2; Homo sapiens; ATAC-seq	source_name=TTC1240	cell type=tumor cell line	cell line=TTC1240	lentivirus=SMARCB1 FL	chip antibody=N/A
SRX5242674	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	iPSC derived hematopoietic cells	NA	53906984,82.2,43.5,11544	GSM3560275: ATAC-seq Suspension rep1; Homo sapiens; ATAC-seq	source_name=AML_4_10Suspension_1	cell type=iPSC-derived hematopoietic cells	time-point=day 16 of differentiation	harvest=manual separation
SRX5345194	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Coronary artery endothelial cells	NA	38206516,85.6,43.2,22262	GSM3593228: ATACseq HCAEC 4h r1; Homo sapiens; ATAC-seq	source_name=Endothelial Cells	cell type=Human Coronary Artery Endothelial Cells	passages=passages 7 to 9	tnf-alpha treatment=4h
SRX5373094	hg38	ATAC-Seq	ATAC-Seq	Neural	Frontal cortex	NA	48987219,54.5,19.6,2454	GSM3603259: ATAC-Seq - NeuN positive/TDP-43 positive S6; Homo sapiens; ATAC-seq	source_name=Nuclei	tissue=Frontal cortex	gender=male	diagnosis=FTD-ALS	genotype/variation=TDP-43 positive	cell type=NeuN positive
SRX5493458	hg38	ATAC-Seq	ATAC-Seq	Blood	Th17 Cells	MeSH Description=A subset of helper-effector T-lymphocytes which synthesize and secrete INTERLEUKINS IL-17; IL-17F; and IL-22. These cytokines are involved in host defenses and tissue inflammation in autoimmune diseases.	10687829,89.1,56.4,19310	GSM3660284: ATAC D1 S1; Homo sapiens; ATAC-seq	source_name=Th17	treatment=None	donor=1	day=Day 0	cell type=Th17
SRX5517033	hg38	ATAC-Seq	ATAC-Seq	Others	CAL 27	Primary Tissue=Tongue|Tissue Diagnosis=Carcinoma Squamous Cell	148247824,67.6,31.9,105990	GSM3670006: Cal27 ATAC-seq; Homo sapiens; ATAC-seq	source_name=Tongue	tumor type=HNSCC	cell line=Cal27	tagmentation enzyme=TDE1 Tagment DNA Enzyme, Illumina, #FC-121-1038
SRX5590490	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	iPSC derived neural cells	NA	55098124,0.0,0.0,16	GSM3690746: NSC 16 ATAC Seq; Homo sapiens; ATAC-seq	source_name=Neural Progenitor Cell	cell type=iPS-derived Neural Progenitor Cell
SRX5608484	hg38	ATAC-Seq	ATAC-Seq	Blood	MOLT-4	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Lymphocytic	14943375,78.1,14.0,20586	GSM3693104: MOLT-4 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=blood derived tumor cells	cell line=MOLT-4	disease state=Adult T acute lymphoblastic leukemia
SRX5651533	hg38	ATAC-Seq	ATAC-Seq	Liver	Liver ductal organoids	NA	51184047,98.8,79.6,12754	GSM3713206: hLiverOrganoids-ATACseq-V1-p53BAP1KO-FLrescue-D13-PB2newBAP1-8; Homo sapiens; ATAC-seq	source_name=BAP1-/- human organoids with 24 hr rescue of full length BAP1 expression	genotype=BAP1-/-	tissue=liver ductal organoids	donor id=human donor Donor2-D13
SRX5679783	hg38	ATAC-Seq	ATAC-Seq	Others	12Z	NA	52163323,60.1,59.9,10285	GSM3721973: A250 ATAC; Homo sapiens; ATAC-seq	source_name=12Z cell line	cell line=12Z endometriotic epithelial cells	condition=siARID1A knockdown	genotype=siARID1A knockdown
SRX5709085	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	iPSC derived endothelial cells	NA	42622489,0.0,26.3,0	ATAC-seq of homo sapiens: patient iPS-EC	isolate=iPS cell line	age=60	biomaterial_provider=Stanford CVI biobank	sex=male	tissue=iPS cell line	cell_type=Endothelial cell	disease=cardiolaminopathy	library=5
SRX6887595	hg38	ATAC-Seq	ATAC-Seq	Neural	Prefrontal Cortex	MeSH Description=The rostral part of the frontal lobe, bounded by the inferior precentral fissure in humans, which receives projection fibers from the MEDIODORSAL NUCLEUS OF THE THALAMUS. The prefrontal cortex receives afferent fibers from numerous structures of the DIENCEPHALON; MESENCEPHALON; and LIMBIC SYSTEM as well as cortical afferents of visual, auditory, and somatic origin.	37184784,77.1,16.6,13838	GSM4089132: Human PrefrontalCortex NeuNnegative ATAC 1; Homo sapiens; ATAC-seq	source_name=Human Prefrontal Cortex	tissue=Human Prefrontal Cortex
SRX8213697	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC WA09	NA	63940017,90.0,48.2,20678	GSM4506445: H9ESC BA Day8 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=Derived from human embryonic stem cells (WA09 WiCell, WAe009-A)	cell identity=Brown adipocytes differentiated from H9ESC derived paraxial mesoderm at differentiation time point day 8	differentiation method=Brown adipocytes differentition using defined differentiation medium as described in the protocol section.	differentiation stage=BA-Day8	molecule subtype=Tn5-transposases-tagged genomic DNA
SRX5933518	hg38	ATAC-Seq	ATAC-Seq	Breast	MCF 10A	Primary Tissue=Breast|Tissue Diagnosis=Fibrocystic Disease	108523671,47.8,52.0,13171	GSM3832924: 2D Soft rep2; Homo sapiens; ATAC-seq	source_name=MCF10A mammary epithelial cells	treatment=None	stiffness=100Pa	tissue culture substrate=2D matrix	cell line=MCF10A
SRX6077932	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived endothelial cells	NA	35291103,86.4,68.5,3950	GSM3893584: Vc- GATA2+ ECs rp2; Homo sapiens; ATAC-seq	source_name=Endothelial cells	cell line/strain=H1	cell type=hESCs derived Endothelial cells	genotype=H1
SRX6355747	hg38	ATAC-Seq	ATAC-Seq	Pancreas	EndoC-BH1	NA	142796966,91.2,50.7,105102	GSM3902514: ATAC-seq Experiment 4 - Interferon-alpha condition (24h); Homo sapiens; ATAC-seq	source_name=EndoC-BH1 cells	cell line=EndoC-BH1	treatment=Interferon-alpha	timepoint=24h
SRX6443503	hg38	ATAC-Seq	ATAC-Seq	Breast	MCF-7	Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma	32782683,63.6,8.3,35068	GSM3941189: MCF7-ARID1A KO Clone 11 4-hydroxy tamoxifen rep 4; Homo sapiens; ATAC-seq	source_name=MCF7-ARID1A_KO_Clone_11_ATAC-seq_4-hydroxy_Tamoxifen	genotype/variation=MCF7 ARID1A knockout clone 11	cell type=ER+ Breast Cancer Cell Line	passages=35-45	treatment=4-hydroxy tamoxifen
SRX6658106	hg38	ATAC-Seq	ATAC-Seq	Breast	HMEC	Primary Tissue=Breast|Tissue Diagnosis=Normal	953542,95.0,92.0,0	GSM4008072: Mammary epithelial cell, U72 E04; Homo sapiens; ATAC-seq	source_name=Human mammary epithelial cells (HMECs)	cell type=Primary mammary epithelial cells	passages=5	treatment=Untreated
SRX6658430	hg38	ATAC-Seq	ATAC-Seq	Neural	HSJD-DIPG-007	NA	43407423,98.2,30.9,37467	GSM4008518: 2 3694Michigan DIPG-007 Nontargeted; Homo sapiens; ATAC-seq	source_name=DIPG cell line	genotype=Non targeted scrambled shRNA	cell line=H3.3K27M HSJD-DIPG007	cell type=DIPG cell line
SRX6685310	hg38	ATAC-Seq	ATAC-Seq	Others	Head and neck squamous cell carcinoma 	NA	77927800,90.2,43.0,59312	GSM4021928: SCC25PBS replicate1; Homo sapiens; ATAC-seq	source_name=HNSCC cell line	cell line=HNSCC cell line SCC25	treatment=PBS	replicate=1
SRX6696978	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	ES cells	NA	59343369,51.2,40.3,821	GSM4026149: hESC-rp2; Homo sapiens; ATAC-seq	source_name=human embryonic stem cells	cell line/strain=human embryonic stem cell H1	cell type=human embryonic stem cells	genotype=WT
SRX6743398	hg38	ATAC-Seq	ATAC-Seq	Neural	Glia	NA	43158572,91.2,12.2,9864	GSM4039968: glia heroin [343]; Homo sapiens; ATAC-seq	source_name=putamen	gender=female	group=heroin	subject id=343	cell type=glia
SRX6800751	hg38	ATAC-Seq	ATAC-Seq	Lung	Bronchial epithelial cells	NA	51177757,82.2,63.5,2195	GSM4059716: AH759: HBE ALI 6wk (DD0760); Homo sapiens; ATAC-seq	source_name=HBE_ALI_6wk (DD0760)	tissue=Primary Human Bronchial Epithelium
SRX6843204	hg38	ATAC-Seq	ATAC-Seq	Others	BT-12	NA	62418164,89.7,15.2,36884	GSM4078526: BT12 cells, mithramycin 18h C, ATAC-seq; Homo sapiens; ATAC-seq	source_name=Atypical Teratoid/Rhabdoid Tumor	cell line=BT12	treatment=Mithramycin	timepoint=18hours	replicate=3
SRX6857967	hg38	ATAC-Seq	ATAC-Seq	Uterus	Myometrium	MeSH Description=The smooth muscle coat of the uterus, which forms the main mass of the organ.	91925832,82.7,21.0,28533	GSM4081678: Myometrial tissue, subject TP4 (ATAC-Seq); Homo sapiens; ATAC-seq	source_name=Myometrium	Stage=38-42 weeks estimated gestational age	tissue=myometrial tissue
SRX6864864	hg38	ATAC-Seq	ATAC-Seq	Blood	Thymus	NA	32732557,98.0,21.3,8147	GSM4083607: TH148 LC ATAC; Homo sapiens; ATAC-seq	source_name=late cortical thymic subpopulation	donor=148	cell type=late cortical thymic subpopulation
SRX6980477	hg38	ATAC-Seq	ATAC-Seq	Placenta	Trophoblast stem cells	NA	38563375,91.6,18.0,44018	GSM4118753: BT5 hTSC 2; Homo sapiens; ATAC-seq	source_name=hTSC	cell type=human trophoblast stem cell (hTSC)	derived from=blastocyst (BT5)	passage=10 to 20
SRX7023020	hg38	ATAC-Seq	ATAC-Seq	Blood	Chronic myeloid leukemia	NA	45122834,55.3,65.7,1421	GSM4130894: ATAC-Seq K562-1; Homo sapiens; ATAC-seq	source_name=bone marrow	disease=chronic myelogenous leukemia	germ layer=Mesoderm
SRX7052878	hg38	ATAC-Seq	ATAC-Seq	Blood	Granulocytes	MeSH Description=Leukocytes with abundant granules in the cytoplasm. They are divided into three groups according to the staining properties of the granules: neutrophilic, eosinophilic, and basophilic. Mature granulocytes are the NEUTROPHILS; EOSINOPHILS; and BASOPHILS.	38409143,91.8,1.8,611	GSM4138751: LDG SLE 01 mat [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=Human whole blood	diagnosis=Lupus	cell type=LDG
SRX7054690	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	HAEC	Primary Tissue=Aorta|Tissue Diagnosis=Normal	42111448,73.6,19.6,8065	GSM4139410: donor20.atac notx.rep1; Homo sapiens; ATAC-seq	source_name=human aortic endothelial cell_untreated_ATAC-seq	donor id=donor20	cell type=human aortic endothelial cell	passage=6 to 10	treatment=untreated
SRX7256402	hg38	ATAC-Seq	ATAC-Seq	Blood	RAMOS	Primary Tissue=Blood|Tissue Diagnosis=Malignant Lymphoma - Burkitts Type	81685271,97.5,23.1,61181	GSM4200800: ATAC-Ramos.1; Homo sapiens; ATAC-seq	source_name=Ramos cell line	cell type=B lymphocyte	genotype=WT	strain=Burkitt's lymphoma-derived cell line, EBV-negative	age=Unknown	Sex=male
SRX7290846	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC HUES8	NA	32639778,88.2,13.4,9535	GSM4210758: week3 PH ATAC rep3; Homo sapiens; ATAC-seq	source_name=HUES 8 hESC line	cell line=HUES 8 hESC line	cell type=hPSC-derived poly-hormonal cell	developmental stage=Stage 6 week 3
SRX17809264	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	56830253,87.5,31.2,99781	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17809265	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	62714305,74.5,25.3,36231	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17809266	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	62060828,68.6,26.3,35051	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17809267	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	54692950,70.8,26.1,32689	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17809268	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	62921716,66.5,26.4,35744	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17809269	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	66837380,68.7,27.1,38528	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17809270	hg38	ATAC-Seq	ATAC-Seq	Blood	Bone Marrow Cells	MeSH Description=Cells contained in the bone marrow including fat cells (see ADIPOCYTES); STROMAL CELLS; MEGAKARYOCYTES; and the immediate precursors of most blood cells.	56854758,87.1,21.1,10934	ATAC-seq of human: bone marrow stromal cells	isolate=N/A	age=N/A	biomaterial_provider=N/A	sex=not applicable	tissue=bone marrow	cell_type=bone marrow stromal cells
SRX17853627	hg38	ATAC-Seq	ATAC-Seq	Gonad	Primordial germ cells	NA	49172777,45.9,58.6,6975	GSM6631068: ATAC hPGC wk7 M r1; Homo sapiens; ATAC-seq	source_name=Gonad	tissue=Gonad	cell type=Primordial germ cells	Sex=male
SRX17914990	hg38	ATAC-Seq	ATAC-Seq	Neural	Brain organoids	NA	48053759,78.2,5.3,50875	GSM6645065: sox2 D60 2; Homo sapiens; ATAC-seq	source_name=brain organoids	developmental stage=D60	tissue=brain organoids	cell line=H9	cell type=SOX2::EGFP+	genotype=WT
SRX18082191	hg38	ATAC-Seq	ATAC-Seq	Blood	HL-60	Primary Tissue=Blood|Tissue Diagnosis=Leukemia	81863311,66.2,59.6,57136	GSM6697165: HL-60, pMIG (EV); Homo sapiens; ATAC-seq	source_name=HL-60	cell line=HL-60	cell type=cell line	kit=Active Motif ATAC-Seq kit
SRX18449023	hg38	ATAC-Seq	ATAC-Seq	Breast	Mammary epithelial cells	NA	116632455,40.8,40.1,4985	GSM6774885: K5plusK19plus-replicate 2; Homo sapiens; ATAC-seq	source_name=Breast	tissue=Breast	cell line=K5plusK19plus	cell type=Mammary epithelial
SRX19152294	hg38	ATAC-Seq	ATAC-Seq	Blood	U-937	Primary Tissue=Blood|Tissue Diagnosis=Lymphoma Diffuse Large B Cell	95842029,47.2,31.9,72339	GSM6965460: U937 cells, shKDM6A+6B, ATAC-seq Replicate 2; Homo sapiens; ATAC-seq	source_name=Blood	tissue=Blood	cell line=U937	cell type=Adult acute monocytic leukemia	genotype=KDM6A and KDM6B knockdown	treatment=None
SRX19243843	hg38	ATAC-Seq	ATAC-Seq	Uterus	Endometrium	MeSH Description=The mucous membrane lining of the uterine cavity that is hormonally responsive during the MENSTRUAL CYCLE and PREGNANCY. The endometrium undergoes cyclic changes that characterize MENSTRUATION. After successful FERTILIZATION, it serves to sustain the developing embryo.	53411582,17.2,12.4,24219	GSM7017469: ESC, lentivirus-CIP2A, 1 μM P4 + 0.25 mM db-cAMP; Homo sapiens; ATAC-seq	source_name=Endometrium	tissue=Endometrium	cell type=stromal cells	genotype=WT	treatment=Lentivirus-CIP2A, 1 micorM P4 + 0.25 mM db-cAMP
SRX19245641	hg38	ATAC-Seq	ATAC-Seq	Neural	SH-EP	NA	38353175,95.5,13.7,47817	GSM7018202: SHEP; Homo sapiens; ATAC-seq	source_name=bone marrow	tissue=bone marrow	cell line=SH-EP	cell type=neuroblast	genotype=wild type
SRX19323769	hg38	ATAC-Seq	ATAC-Seq	Blood	FS4	NA	10739548,94.0,2.9,22710	GSM7031593: 2 ATAC AK356 8hr invading, biol rep 1; Homo sapiens; ATAC-seq	source_name=FS4	cell line=FS4	cell type=Melanoma cells	treatment=invading, 8 hours
SRX19523706	hg38	ATAC-Seq	ATAC-Seq	Others	Mesenchymal stem cells	NA	52777811,80.7,75.2,5195	GSM7070564: ATACseq siCtrl; Homo sapiens; ATAC-seq	source_name=Human umbilical cord	tissue=Human umbilical cord	cell type=Human umbilical cord mesenchymal stem cells	genotype=Ctrl knockdown	treatment=siRNA
